<Fri Nov 20 00:00:03 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:04 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:06 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:07 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:08 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:13 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:14 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:16 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:17 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:18 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:21 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:22 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:23 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:24 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:26 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:27 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:30 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:32 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:35 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:37 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:40 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:00:42 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:01:10 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:13 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:21 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:22 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:23 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:24 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:42 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:53 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:01:53 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:01 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:10 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:14 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:27 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:31 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:38 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:46 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:02:51 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:01 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:11 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:18 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:23 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:32 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:40 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:03:44 2020> Gained 30,000 from Black chick | @Swarmed Steps 1 (214)
<Fri Nov 20 00:04:14 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:04:14 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:04:21 2020> Gained 7,000 from Plain monkey | @Monkey Curl 1 (160)
<Fri Nov 20 00:05:13 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:18 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:19 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:23 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:26 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:31 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:31 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:36 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:38 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:05:41 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:03 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:05 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:11 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:18 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:23 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:26 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:51 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:59 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:23 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:26 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:27 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:32 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:37 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:45 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:49 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:49 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:51 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:53 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:03 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:05 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:44 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:08:45 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
