==== [Login] ==================================================================
 Edge has logged in ~ @Kugnae(0)
 33,813 gold.
 969,407,494 experience.
 0 karma.
 IP: 172.115.209.225
Date & Time : Fri Nov 20 00:41:37 2020
<Fri Nov 20 00:48:26 2020> Gained 381,099 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:29 2020> Gained 394,239 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:37 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:39 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:50 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:50 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:48:56 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:03 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:09 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:16 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:22 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:24 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:26 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:36 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:39 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:46 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:46 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:48 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:49:50 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:50:01 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:50:05 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:50:15 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:50:22 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:50:24 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
