<Fri Nov 20 00:01:09 2020> Gained 0 from Ginko tree | @Golden Grove (1154)
<Fri Nov 20 00:03:50 2020> Gained 0 from Ginko tree | @Golden Grove (1154)
<Fri Nov 20 00:05:35 2020> Gained 0 from Ginko tree | @Golden Grove (1154)
<Fri Nov 20 00:06:45 2020> Gained 0 from Ginko tree | @Golden Grove (1154)
<Fri Nov 20 00:39:36 2020> DEPOSITED: Ginko wood  Amount: 100 | @Yunsil Tavern (362)
<Fri Nov 20 00:39:51 2020> DEPOSITED: Wool  Amount: 2 | @Yunsil Tavern (362)
<Fri Nov 20 00:49:22 2020> BOUGHT: Yellow scroll Amount: 100 for 100 gold. | @Yunsil Tavern (362)
<Fri Nov 20 00:52:57 2020> DROPPED: 4 Fox fur | @Wilderness (1002) | X: 135 Y: 188
<Fri Nov 20 00:53:00 2020> DROPPED: 4 Red fox fur | @Wilderness (1002) | X: 135 Y: 188
<Fri Nov 20 00:53:07 2020> DROPPED: 7 Antler | @Wilderness (1002) | X: 135 Y: 188
<Fri Nov 20 00:56:47 2020> DROPPED: 1 Traveling shoes | @Wilderness (1002) | X: 136 Y: 188
<Fri Nov 20 00:56:55 2020> DROPPED: 1 Frost sabre | @Wilderness (1002) | X: 135 Y: 187
<Fri Nov 20 00:57:04 2020> PICKED UP: 1 Frost sabre | @Wilderness (1002) | X: 135 Y: 187 | Comma
<Fri Nov 20 00:57:25 2020> DROPPED: 2 Light fox fur | @Wilderness (1002) | X: 136 Y: 188
<Fri Nov 20 00:57:41 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:45 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:46 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:47 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:48 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:49 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:50 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
<Fri Nov 20 00:57:51 2020> BOUGHT: Axe Amount: 1 for 50 gold. | @Splinter's House (1141)
